R_Eatery_Name,R_Eatery_Old_Addr,R_Eatery_Addr,R_Eatery_Latitude,R_Eatery_Longtitude,R_Eatery_Score,R_Eatery_Views,R_Eatery_Preference,R_Eatery_Reviews,R_Eatery_Bookmarks
아따블르,제주특별자치도 제주시 조천읍 북촌리 583-1,제주특별자치도 제주시 조천읍 북촌11길 15-16,33.54993,126.69455,0,1613,0,0,3
카페백퍼,제주특별자치도 제주시 애월읍 하귀2리 1480,제주특별자치도 제주시 애월읍 일주서로 7063,33.4836,126.404076,5,1361,0,1,3
만덕식당,제주특별자치도 제주시 한경면 고산리 3606-2,제주특별자치도 제주시 한경면 노을해안로 1168,33.308563,126.163246,0,3895,4,0,9
한라성,제주특별자치도 서귀포시 상효동 1457-2,제주특별자치도 서귀포시 돈내코로 95,33.3306923,126.5673572,0,716,0,0,0
하효소머리국밥,제주특별자치도 서귀포시 하효동 142-2,제주특별자치도 서귀포시 효돈로 174,33.26354,126.61735,0,1571,0,0,2
어머니빵집,제주특별자치도 제주시 연동 2325-7,제주특별자치도 제주시 도령로 103,33.491585,126.488625,0,837,0,0,1
아일랜드팩토리,제주특별자치도 제주시 이호1동 1707,제주특별자치도 제주시 테우해안로 162,33.49674,126.45114,4,963,0,2,7
이조은식당,제주특별자치도 서귀포시 색달동 2476-3,제주특별자치도 서귀포시 천제연로 97,33.25506,126.41622,0,3339,0,0,2
고가네,제주특별자치도 서귀포시 성산읍 성산리 170-13,제주특별자치도 서귀포시 성산읍 성산중앙로19번길 14,33.46273,126.931366,0,2243,0,0,2
어스윗루트,제주특별자치도 제주시 애월읍 하귀1리 212-10,제주특별자치도 제주시 애월읍 하광로 37-3,33.479004,126.416405,0,432,0,0,0
한마음돈가돈,제주특별자치도 제주시 이도2동 76-11,제주특별자치도 제주시 연신로 91,33.49382,126.54934,3,806,0,1,3
청도해물탕,제주특별자치도 제주시 용담3동 1144,제주특별자치도 제주시 서해안로 546,33.519913,126.49706,3,903,0,1,6
성산 고등어쌈밥 김치찜,제주특별자치도 서귀포시 성산읍 고성리 232,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 122-5,33.449497,126.920715,3,1966,0,1,18
흑한우명품관,제주특별자치도 서귀포시 토평동 262-1,제주특별자치도 서귀포시 일주동로 8421,33.257244,126.58852,4,2494,2,1,4
월드컵흑돼지,제주특별자치도 서귀포시 법환동 1581,제주특별자치도 서귀포시 월드컵로 74,33.24307,126.505196,5,1081,0,1,2
대기정,제주특별자치도 서귀포시 대포동 1787,제주특별자치도 서귀포시 이어도로 41,33.24031,126.428665,0,1985,1,0,12
