R_Stay_Name,R_Stay_Old_Addr,R_Stay_Addr,R_Stay_Latitude,R_Stay_Longtitude,R_Stay_Score,R_Stay_Views,R_Stay_Preference,R_Stay_Reviews,R_Stay_Bookmarks
걸리버여행,제주특별자치도 서귀포시 안덕면 화순리 1229-1,제주특별자치도 서귀포시 안덕면 화순서서로64번길 69,33.2519965,126.3337193,0,926,0,0,0
고내촌휴양펜션,제주특별자치도 제주시 애월읍 고내리 739번지,제주특별자치도 제주시 애월읍 애상로 207-11,33.453415,126.3414,0,766,0,0,0
숲속의궁전,제주특별자치도 서귀포시 강정동 1275-1,제주특별자치도 서귀포시 염돈로28번길 46,33.2615636,126.49447,3,1160,0,1,0
안트레 펜션,제주특별자치도 제주시 한림읍 동명리 1469,제주특별자치도 제주시 한림읍 한림중앙로 154-7,33.402252,126.26978,0,1549,0,0,0
바람돌이하우스,제주특별자치도 제주시 구좌읍 행원리 1421,제주특별자치도 제주시 구좌읍 행원로5길 35-5,33.55628,126.80473,0,998,0,0,0
쫄깃센터,제주특별자치도 제주시 한림읍 협재리 1689-1,제주특별자치도 제주시 한림읍 협재1길 27,33.397686,126.243256,5,2520,0,1,1
103순례자의집,제주특별자치도 제주시 한경면 용수리 4110-1,제주특별자치도 제주시 한경면 용수3길 24,33.32406,126.16729,0,688,0,0,0
해마지펜션,제주특별자치도 서귀포시 성산읍 신천리 105-1,제주특별자치도 서귀포시 성산읍 일주동로 5431,33.3545979,126.8612189,0,2122,0,0,0
제마펜션,제주특별자치도 제주시 조천읍 신촌10길 41-1,,33.53245,126.63484,0,698,0,0,0
하워드 존슨 호텔 제주 서귀포 하버,제주특별자치도 서귀포시 서귀동 162-1,제주특별자치도 서귀포시 태평로 436,33.2455895,126.5667011,0,619,0,0,3
JJ하우스,제주도 서귀포시 강정동 3786-1,제주도 서귀포시 중산간서로 241,33.26077,126.485535,0,1751,0,0,0
돌담민박,제주특별자치도 제주시 애월읍 하귀1리 525-1,제주특별자치도 제주시 애월읍 하귀12길 18,33.48612,126.40922,0,1468,0,0,0
초원게스트하우스,제주특별자치도 제주시 우도면 연평리 2278-2,제주특별자치도 제주시 우도면 우도로 225,33.51172,126.95203,5,1447,0,1,3
제주샘모루펜션,제주특별자치도 서귀포시 강정동 2011,제주특별자치도 서귀포시 염돈로28번길 11,33.253098,126.49493,3,4728,0,2,1
추자섬민박,제주특별자치도 제주시 추자면 대서리 291,제주특별자치도 제주시 추자면 대서5길 86,33.9642903,126.2929862,0,565,0,0,0
하얀언덕,제주특별자치도 서귀포시 표선면 표선리 1282-6,제주특별자치도 서귀포시 표선면 민속해안로 351,33.311478,126.83403,0,1641,0,0,0
늘작,제주시 구좌읍 한동리 8-2,제주시 구좌읍 계룡길 26-9,33.5381475,126.8367724,5,2942,0,2,2
스카이리더스호텔,제주특별자치도 제주시 연동 268-13,제주특별자치도 제주시 신광로 106,33.4826164,126.4896573,0,1196,0,0,0
아버지의 바다,제주특별자치도 제주시 구좌읍 하도리 3129,제주특별자치도 제주시 구좌읍 해맞이해안로 1554,33.528107,126.869675,0,954,0,0,0
바다숨소리스파펜션,제주특별자치도 제주시 조천읍 신촌리 2403-3,제주특별자치도 제주시 조천읍 신촌북3길 53,33.5377919,126.6143196,0,750,0,0,0
쥬빌리펜션,제주특별자치도 서귀포시 안덕면 창천리 686-3,제주특별자치도 서귀포시 안덕면 소기왓로 84,33.2420807,126.3691944,0,1408,1,0,0
파더하우스,제주특별자치도 제주시 애월읍 하가리 1335-6,제주특별자치도 제주시 애월읍 고하상로 88,33.457288,126.3466068,0,1303,0,0,0
펠리스타운,제주특별자치도 서귀포시 성산읍 시흥리 12-98,제주특별자치도 서귀포시 성산읍 시흥하동로50번길 23,33.474464,126.9080372,0,1462,0,0,1
동양콘도,제주도 제주시 애월읍 구엄리 609-1,제주시 애월읍 애월해안로 708,33.482887,126.37733,0,1182,0,0,1
스마일모텔,제주특별자치도 제주시 연동 293-64,제주특별자치도 제주시 연동13길 42,33.4861576,126.494388,0,588,2,0,1
파크 선샤인 제주,제주특별자치도 서귀포시 서홍동 637,제주특별자치도 서귀포시 남성중로 135번길 1,33.24398,126.553955,5,4711,5,1,10
해피데이 민박,제주특별자치도 제주시 한림읍 협재리 1424,제주특별자치도 제주시 한림읍 한림로 423,33.3993265,126.2468661,0,916,0,0,0
솔바람풍경소리펜션,제주특별자치도 서귀포시 남원읍 태흥리 1936-13,제주특별자치도 서귀포시 남원읍 태수로143번길 132-37,33.290447,126.724174,5,3809,1,1,0
신산게스트하우스,제주특별자치도 서귀포시 성산읍 신산리 594-1,제주특별자치도 서귀포시 성산읍 환해장성로121번길 21,33.384286,126.8799433,0,1022,0,0,0
스쿠버스토리,제주특별자치도 서귀포시 동홍동 192-39,제주특별자치도 서귀포시 태평로536번길 17,33.2663197,126.5671727,0,1182,0,0,0
아뜨네통나무펜션,제주특별자치도 제주시 애월읍 하귀1리 831-3,제주특별자치도 제주시 애월읍 상하귀길 91,33.475733,126.4163508,0,1722,0,0,0
아름다운리조트,제주특별자치도 서귀포시 성산읍 시흥리 5,제주특별자치도 서귀포시 성산읍 해맞이해안로 2644,33.47583,126.90991,4,7508,1,4,14
나무이야기게스트하우스,제주특별자치도 서귀포시 남원읍 태흥리 155-3,제주특별자치도 서귀포시 남원읍 태신삼석로 6,33.294765,126.7586,0,1242,0,0,0
블랙스톤리조트,제주특별자치도 제주시 한림읍 금악리 84-1,제주특별자치도 제주시 한림읍 한창로 925-122,33.33866,126.31243,5,3899,0,1,1
켄싱턴리조트 제주 한림점,제주특별자치도 제주시 한림읍 귀덕리 3861,제주특별자치도 제주시 한림읍 한림해안로 530,33.43582,126.27453,4,7314,0,5,17
폴에이리조트,제주특별자치도서귀포시법환동978번지,제주특별자치도 서귀포시 월드컵로45번길 40,33.244358,126.511086,0,3075,0,0,3
풍경호텔(풍경관광호텔),제주특별자치도 서귀포시 서홍동 586,제주특별자치도 서귀포시 남성중로 147,33.2639577,126.5507293,4,1423,0,1,1
필그림 BnB,제주특별자치도 서귀포시 호근동 1536,제주특별자치도 서귀포시 속골로 66-7,33.24565,126.53136,5,1721,0,1,1
