R_Spot_Name,R_Spot_Old_Addr,R_Spot_Addr,R_Spot_Latitude,R_Spot_Longtitude,R_Spot_Score,R_Spot_Views,R_Spot_Preference,R_Spot_Reviews,R_Spot_Bookmarks
동일리포구,제주특별자치도 서귀포시 대정읍 동일리,제주특별자치도 서귀포시 대정읍 동일리,33.225437,126.24133,5,1993,0,1,2
오라동 청보리-메밀꽃밭,제주특별자치도 제주시 오라2동 산 76,제주특별자치도 제주시 오라2동 산 76,33.426865,126.505775,5,42058,19,36,446
큰넓궤,제주특별자치도 서귀포시 안덕면 동광리 90 일대,제주특별자치도 서귀포시 안덕면 동광리 90 일대,33.31075,126.357635,5,1956,1,3,3
제주항 국제크루즈터미널,제주특별자치도 제주시 건입동 908-18,제주특별자치도 제주시 임항로 191,33.526657,126.54367,5,958,0,1,3
제주해양동물박물관,제주특별자치도 서귀포시 성산읍 수산리 3233,제주특별자치도 서귀포시 성산읍 서성일로 689-21,33.42965,126.855606,5,22006,14,15,80
박성내,제주특별자치도 제주시 아라2동 1370-6,제주특별자치도 제주시 기자길 5,33.4849094,126.5439165,5,1282,1,1,1
김녕해안도로,제주특별자치도 제주시 구좌읍 김녕리,제주특별자치도 제주시 구좌읍 김녕리,33.55654,126.7603,5,4338,3,5,102
송당승마장,제주특별자치도 제주시 구좌읍 송당리 산 126,제주특별자치도 제주시 구좌읍 번영로 2015,33.43554,126.741356,3,13838,1,3,22
제주중앙성당,제주특별자치도 제주시 삼도이동 114,제주특별자치도 제주시 관덕로8길 14,33.5116197,126.5231558,0,251,0,0,0
삼양해안도로,제주특별자치도 제주시 삼양2동,제주특별자치도 제주시 삼양2동,33.52099,126.58382,5,2309,1,1,23
진아영 할머니 집터,제주특별자치도 제주시 한림읍 월령리 381,제주특별자치도 제주시 한림읍 월령1길 22,33.376026,126.21468,5,4647,3,5,1
하예포구(예래포구),제주특별자치도 서귀포시 하예동,제주특별자치도 서귀포시 하예동,33.23357,126.374916,4,2913,1,2,2
월라봉,제주특별자치도 서귀포시 안덕면 감산리,제주특별자치도 서귀포시 안덕면 감산리,33.248497,126.35095,5,1341,0,3,4
곤흘동(곤을동) 마을터,제주특별자치도 제주시 화북1동 4438,제주특별자치도 제주시 화북1동 4438,33.521984,126.55739,5,2260,1,1,0
아이스뮤지엄,제주특별자치도 제주시 연동 1320,제주특별자치도 제주시 은수길 69,33.47011,126.487595,5,20862,7,2,129
북촌국민학교,제주특별자치도 제주시 조천읍 북촌리 1212,제주특별자치도 제주시 조천읍 일주동로 1481,33.547977,126.69154,5,2432,2,2,1
제주키위 비자림농원,제주특별자치도 제주시 구좌읍 평대리 2850,제주특별자치도 제주시 구좌읍 비자림로동3길 77-81,33.500973,126.81266,5,2744,1,2,5
신창리포구,제주특별자치도 제주시 한경면 신창리,제주특별자치도 제주시 한경면 신창리,33.349598,126.18087,5,1765,1,7,0
영실기암,제주특별자치도 서귀포시 하원동,제주특별자치도 서귀포시 하원동,33.34389,126.4925,5,9293,2,6,47
동거문이오름,제주특별자치도 제주시 구좌읍 종달리 산 70,제주특별자치도 제주시 구좌읍 종달리 산 70,33.449257,126.806145,5,2716,0,3,4
송당리,제주특별자치도 제주시 구좌읍 송당리 1366,제주특별자치도 제주시 구좌읍 중산간동로 2218-3,33.47106,126.78093,5,3706,1,18,5
산방산 용머리해안 지질트레일,제주특별자치도 서귀포시 안덕면 사계리 981,제주특별자치도 서귀포시 안덕면 사계북로41번길 192,33.235634,126.30946,5,23613,8,22,185
북촌포구,제주특별자치도 제주시 조천읍 북촌리 588,제주특별자치도 제주시 조천읍 북촌9길 26-1,33.550053,126.69415,5,2813,1,1,5
쉼터마을 유수암리 농어촌체험마을,제주특별자치도 제주시 애월읍 유수암리 1892-1,제주특별자치도 제주시 애월읍 유수암평화길 14,33.4413679,126.4029559,4,2831,0,2,7
추사 유배길 - 3코스 사색의 길,제주특별자치도 서귀포시 안덕면 사계리 3126-1,제주특별자치도 서귀포시 안덕면 향교로 165-17,33.239353,126.28839,5,4692,3,2,17
좌보미오름,제주특별자치도 서귀포시 표선면 성읍리 산 6,제주특별자치도 서귀포시 표선면 성읍리 산 6,33.434856,126.80349,5,3688,0,1,7
종달리수국길,제주특별자치도 제주시 구좌읍 종달리 85,제주특별자치도 제주시 구좌읍 해맞이해안로 2121,33.50903,126.909294,5,16770,2,18,181
큰노꼬메오름,제주특별자치도 제주시 애월읍 유수암리 산 138,제주특별자치도 제주시 애월읍 유수암리 산 138,33.39231,126.41524,5,8934,0,9,10
엉알해안산책로,제주특별자치도 제주시 한경면 고산리 3616-10,제주특별자치도 제주시 한경면 노을해안로 1143,33.3079446,126.164135,5,6853,1,4,48
무등이왓터,제주특별자치도 서귀포시 안덕면 동광리 233-1,제주특별자치도 서귀포시 안덕면 신화역사로586번길 21-7,33.3094417,126.3521864,5,1978,0,1,1
민속해안로,제주특별자치도 서귀포시 표선면 세화리 281-1,제주특별자치도 서귀포시 표선면 일주동로 6228,33.316566,126.84169,4,2450,0,1,24
한국야구명예전당(야구박물관),제주특별자치도 서귀포시 강정동 1481-3,제주특별자치도 서귀포시 중산간서로 97-1,33.26081,126.49815,3,8017,0,1,10
성산오조리해안,제주특별자치도 서귀포시 성산읍 오조리,제주특별자치도 거쉬포시 성산읍 한도로,33.45794,126.8903,5,3884,0,6,31
정방폭포,제주특별자치도 서귀포시 동홍동 278,제주특별자치도 서귀포시 칠십리로214번길 37,33.244854,126.5718,5,117049,24,122,924
대병악,제주특별자치도 서귀포시 안덕면 한창로,제주특별자치도 서귀포시 안덕면 한창로,33.307426,126.36823,0,1153,0,0,0
