Nature_ID,Nature_Type,Nature_Name,Nature_Addr,Nature_Longtitude,Nature_Latitude
240,오름,괴오름,제주특별자치도 제주시 애월읍 봉성리 산 41,126.3779446,33.35887664
241,오름,굴뫼오름,제주특별자치도 서귀포시 안덕면 창천리 1102-1,126.3645555,33.2476826
242,오름,북돌아진오름,제주특별자치도 제주시 애월읍 봉성리 산 41,126.3779446,33.35887664
243,오름,가메오름,제주특별자치도 제주시 애월읍 봉성리 산 124,126.3351286,33.36676812
244,오름,눈오름,제주특별자치도 제주시 애월읍 봉성리 2952-2,126.3124884,33.40786932
245,오름,샛오름,제주특별자치도 제주시 애월읍 곽지리 산 14,126.3172406,33.44833124
246,오름,말젯오름(과오름),제주특별자치도 제주시 애월읍 곽지리 산 14,126.3172406,33.44833124
247,오름,모구리알오름,제주특별자치도 서귀포시 성산읍 난산리 2960-1,126.8277254,33.40787854
248,오름,웃선족이오름,제주특별자치도 제주시 구좌읍 송당리 산 140-2,126.7486172,33.44215917
249,오름,알선족이오름,제주특별자치도 제주시 구좌읍 송당리 606,126.7829718,33.48209636
250,오름,감은이오름,제주특별자치도 제주시 구좌읍 송당리 297,126.7910775,33.48270515
251,오름,골체오름,제주특별자치도 제주시 조천읍 선흘리 1912,126.7050087,33.45055565
252,오름,돈두미오름,제주특별자치도 서귀포시 대정읍 영락리 1450,126.2072229,33.25160054
253,오름,거린(족은)오름,제주특별자치도 서귀포시 남원읍 한남리 산 2-1,126.6462865,33.35906442
254,오름,사라오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,126.6051303,33.36411238
255,오름,성널오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,126.6051303,33.36411238
256,오름,대병악(큰오름),제주특별자치도 서귀포시 안덕면 상창리 산 2-1,126.3699159,33.30696277
257,오름,소병악(족은오름),제주특별자치도 서귀포시 안덕면 상창리 산 2-1,126.3699159,33.30696277
258,오름,좌보미알오름,제주특별자치도 서귀포시 표선면 성읍리 93,126.8141792,33.4318018
259,오름,제석오름,제주특별자치도 서귀포시 표선면 하천리 429-1,126.8362751,33.34716981
260,오름,매오름,제주특별자치도 서귀포시 표선면 표선리 2457,126.8180169,33.3164374
261,오름,넙게오름,제주특별자치도 서귀포시 안덕면 서광리 943,126.3163096,33.28715713
262,오름,낭끼오름,제주특별자치도 서귀포시 성산읍 수산리 3954,126.8432252,33.43546596
263,오름,제지기오름,제주특별자치도 서귀포시 보목동 산 1,126.599287,33.23012478
264,오름,베릿네오름,제주특별자치도 서귀포시 중문동 3712,126.4304052,33.25276653
265,오름,논오름,제주특별자치도 제주시 삼양일동 558-1,126.5982894,33.51752535
266,오름,들레오름,제주특별자치도 제주시 월평동 665-2,126.5798059,33.45949692
267,오름,소산오름,제주특별자치도 제주시 아라일동 산 31,126.5543645,33.4455188
268,오름,개새끼오름,제주특별자치도 제주시 오라삼동 산 2845,127.1967319,37.41695727
269,오름,두산봉알오름,제주특별자치도 서귀포시 성산읍 시흥리 2665,126.8849257,33.47659568
270,오름,다래오름,제주특별자치도 제주시 애월읍 어음리 산 26-2,126.3904508,33.36625911
271,오름,검은들먹오름,제주특별자치도 제주시 애월읍 어음리 산 25,126.41723,33.36468726
272,오름,섯알오름희생자추모비,제주특별자치도 서귀포시 대정읍 상모리 1590-3,126.2798765,33.20549425
273,오름,민오름,제주특별자치도 제주시 오라이동 3217,126.5031366,33.4796122
274,오름,갯거리오름동길,제주특별자치도 제주시 한림읍 금악리 2632,126.2971458,33.374375
275,오름,거문오름길,제주특별자치도 제주시 조천읍 선흘리 4203,126.7080061,33.4633221
276,오름,돈오름로22번길,제주특별자치도 서귀포시 표선면 세화리 607,126.8027873,33.32899163
277,오름,동오름길,제주특별자치도 제주시 봉개동 1715-2,126.5987273,33.49852928
278,오름,민오름길,제주특별자치도 제주시 오라이동 3827-6,126.5090481,33.48561717
279,오름,서리오름로107번길,제주특별자치도 서귀포시 보목동 1633,126.6051583,33.2486247
280,오름,서리오름로55번길,제주특별자치도 서귀포시 보목동 908-1,126.6015072,33.24774493
281,오름,서리오름로72번길,제주특별자치도 서귀포시 보목동 1633,126.6051583,33.2486247
282,오름,인정오름로85번길,제주특별자치도 서귀포시 토평동 3245,126.5855066,33.27468504
283,오름,인정오름로86번길,제주특별자치도 서귀포시 토평동 3245,126.5855066,33.27468504
284,오름,서리오름로,제주특별자치도 서귀포시 보목동 1633,126.6051583,33.2486247
285,오름,우진오름길,제주특별자치도 제주시 조천읍 선흘리 4203,126.7080061,33.4633221
286,오름,군산오름,제주특별자치도 서귀포시 안덕면 창천리 산 3-1,126.3681651,33.25182135
287,오름,붉은오름,제주특별자치도 서귀포시 표선면 가시리 산 158,126.6710381,33.39564892
